ticker,open,high,low,close,volume,vwap,t,transactions,otc
AAPL,189.36,189.36,189.357,189.357,394.0,189.3588,1701102411000,13,
AAPL,189.37,189.37,189.36,189.36,772.0,189.3658,1701102413000,9,
AAPL,189.365,189.37,189.3588,189.37,2414.0,189.3606,1701102414000,22,
AAPL,189.3666,189.37,189.36,189.36,1651.0,189.3629,1701102415000,15,
AAPL,189.3599,189.3599,189.3599,189.3599,232.0,189.3599,1701102416000,3,
AAPL,189.37,189.37,189.37,189.37,506.0,189.3717,1701102417000,17,
AAPL,189.37,189.3701,189.37,189.37,929.0,189.3704,1701102418000,11,
AAPL,189.3698,189.3698,189.3698,189.3698,591.0,189.3691,1701102419000,5,
AAPL,189.37,189.37,189.37,189.37,981.0,189.3701,1701102420000,16,
AAPL,189.37,189.37,189.37,189.37,331.0,189.3686,1701102421000,8,
AAPL,189.36,189.36,189.36,189.36,2222.0,189.36,1701102422000,26,
AAPL,189.3501,189.36,189.3501,189.36,2344.0,189.3572,1701102424000,27,
AAPL,189.37,189.37,189.37,189.37,240.0,189.3694,1701102425000,7,
AAPL,189.37,189.37,189.37,189.37,318.0,189.37,1701102426000,13,
AAPL,189.37,189.37,189.37,189.37,103.0,189.3701,1701102427000,4,
AAPL,189.37,189.37,189.37,189.37,489.0,189.3677,1701102428000,16,
AAPL,189.37,189.37,189.37,189.37,203.0,189.3699,1701102429000,5,
AAPL,189.36,189.36,189.355,189.355,934.0,189.3572,1701102430000,9,
AAPL,189.355,189.355,189.355,189.355,150.0,189.355,1701102431000,2,
AAPL,189.35,189.36,189.35,189.36,527.0,189.3565,1701102432000,8,
AAPL,189.36,189.36,189.36,189.36,460.0,189.36,1701102433000,7,
AAPL,189.36,189.36,189.36,189.36,305.0,189.36,1701102436000,8,
AAPL,189.36,189.36,189.36,189.36,397.0,189.3601,1701102437000,8,
AAPL,189.36,189.36,189.3539,189.3539,491.0,189.3564,1701102438000,4,
AAPL,189.35,189.35,189.35,189.35,3519.0,189.3503,1701102439000,64,
AAPL,189.36,189.36,189.36,189.36,282.0,189.3601,1701102440000,5,
AAPL,189.37,189.3771,189.37,189.3771,3170.0,189.3746,1701102441000,22,
AAPL,189.365,189.39,189.365,189.37,3135.0,189.3787,1701102442000,48,
AAPL,189.37,189.37,189.37,189.37,1435.0,189.3696,1701102443000,13,
AAPL,189.38,189.38,189.38,189.38,102.0,189.3799,1701102444000,3,
AAPL,189.38,189.38,189.38,189.38,627.0,189.38,1701102445000,11,
AAPL,189.38,189.38,189.375,189.375,1260.0,189.3768,1701102446000,7,
AAPL,189.37,189.37,189.37,189.37,550.0,189.3682,1701102450000,13,
AAPL,189.36,189.3601,189.36,189.3601,215.0,189.3601,1701102451000,5,
AAPL,189.36,189.365,189.36,189.365,1276.0,189.3636,1701102452000,13,
AAPL,189.36,189.36,189.36,189.36,225.0,189.3605,1701102453000,7,
AAPL,189.365,189.365,189.35,189.35,2852.0,189.3554,1701102454000,36,
AAPL,189.35,189.35,189.35,189.35,388.0,189.349,1701102455000,7,
AAPL,189.345,189.345,189.345,189.345,304.0,189.3452,1701102456000,10,
AAPL,189.35,189.35,189.35,189.35,104.0,189.3499,1701102458000,3,
AAPL,189.345,189.35,189.345,189.35,403.0,189.3475,1701102459000,6,
AAPL,189.345,189.345,189.345,189.345,175.0,189.3473,1701102460000,7,
