ts_recv,raw_symbol,expiration,instrument_class,strike_price,underlying,instrument_id,time,diff
1712275200000000000,"UD:1V: CO 2504756",1712354340000000000,"T",9223372036.854776,"",2504756,1721398215586,1
1712275200000000000,"ESM4 C7100",1718976600000000000,"C",7100.0,"ESM4",42248186,1721398215586,1
1712275200000000000,"UD:1V: VT 2523656",1712354340000000000,"T",9223372036.854776,"",2523656,1721398215586,1
1712334957589636567,"UD:1V: GN 2798105",1712354340000000000,"T",9223372036.854776,"",2798105,1721398215586,1
1712275200000000000,"ESZ8 P7100",1860503400000000000,"P",7100.0,"ESZ8",42344652,1721398215586,1
1712275200000000000,"UD:1V: 12 2520071",1712354340000000000,"T",9223372036.854776,"",2520071,1721398215586,1
1712275200000000000,"ESM4 P5125",1718976600000000000,"P",5125.0,"ESM4",42426733,1721398215586,1
1712275200000000000,"ESM4 C5725",1718976600000000000,"C",5725.0,"ESM4",42433606,1721398215586,1
1712275200000000000,"ESZ7 P1200",1829053800000000000,"P",1200.0,"ESZ7",223117,1721398215586,1
1712275200000000000,"ESZ4 P2600",1734705000000000000,"P",2600.0,"ESZ4",721230,1721398215586,1
1712275200000000000,"UD:1V: GN 2512696",1712354340000000000,"T",9223372036.854776,"",2512696,1721398215586,1
1712275200000000000,"ESZ4 C1800",1734705000000000000,"C",1800.0,"ESZ4",198980,1721398215586,1
1712275200000000000,"ESH5 P4100",1742563800000000000,"P",4100.0,"ESH5",270916,1721398215586,1
1712275200000000000,"ESU4 P6200",1726839000000000000,"P",6200.0,"ESU4",78666,1721398215586,1
1712275200000000000,"ESZ6 P1000",1797604200000000000,"P",1000.0,"ESZ6",232938,1721398215586,1
1712275200000000000,"UD:1V: BO 2554842",1712354340000000000,"T",9223372036.854776,"",2554842,1721398215586,1
1712275200000000000,"UD:1V: 13 2651661",1712354340000000000,"T",9223372036.854776,"",2651661,1721398215586,1
1712275200000000000,"ESU4 C3500",1726839000000000000,"C",3500.0,"ESU4",179896,1721398215586,1
1712275200000000000,"ESM4 P5510",1718976600000000000,"P",5510.0,"ESM4",42397119,1721398215586,1
1712275200000000000,"ESZ8 C2100",1860503400000000000,"C",2100.0,"ESZ8",42341574,1721398215586,1
1712275200000000000,"ESZ4 C4500",1734705000000000000,"C",4500.0,"ESZ4",624086,1721398215586,1
1712275200000000000,"ESZ8 C7800",1860503400000000000,"C",7800.0,"ESZ8",42359892,1721398215586,1
1712275200000000000,"ESZ6 P1500",1797604200000000000,"P",1500.0,"ESZ6",179582,1721398215586,1
1712275200000000000,"ESZ4 C5650",1734705000000000000,"C",5650.0,"ESZ4",42324218,1721398215586,1
1712275200000000000,"ESH5 P3300",1742563800000000000,"P",3300.0,"ESH5",238538,1721398215586,1
1712275200000000000,"ESZ8 P6100",1860503400000000000,"P",6100.0,"ESZ8",42341586,1721398215586,1
1712275200000000000,"ESH5 P3200",1742563800000000000,"P",3200.0,"ESH5",251252,1721398215586,1
1712275200000000000,"ESM4 C2500",1718976600000000000,"C",2500.0,"ESM4",773221,1721398215586,1
1712275200000000000,"ESM5 C4000",1750426200000000000,"C",4000.0,"ESM5",450330,1721398215586,1
1712275200000000000,"UD:1V: VT 2575756",1712354340000000000,"T",9223372036.854776,"",2575756,1721398215586,1
1712275200000000000,"UD:1V: GN 2515923",1712354340000000000,"T",9223372036.854776,"",2515923,1721398215586,1
1712275200000000000,"ESZ6 P2300",1797604200000000000,"P",2300.0,"ESZ6",695462,1721398215586,1
1712275200000000000,"UD:1V: VT 2764673",1712354340000000000,"T",9223372036.854776,"",2764673,1721398215586,1
